THƯ MỤC,TÊN PHIM,Số tập,Thể loại,Ghi chú,,Cách Đăng ký xem phim,
,Superman DC - Man of Steel - Người đàn ông thép 2013,1,"Hành động, Viễn tưởng",,4K Bluray,,
,Tay đấm thép - Real steel 2011,1,"Hành động, Viễn tưởng",,,,
,Tân bạch phát ma nữ - The White Haired Witch of Lunar Kingdom 2014,1,"Võ thuật, Tình cảm",,,,
PHIM 1,Tận thế 2012,1,"Đại họa TG, Hành động",,,,
,Siêu gián điệp - Tenet 2020,1,"Hành động, Viễn tưởng",,4K Bluray,,
,The Chrismas do over,1,"Hài hước, Tình cảm",Mong có ai đó làm sub hộ,,,
,The Monkey King - Tôn Ngộ Không 2014 2016 2018,3,"Hành động, Thần thoại",,,,
,Twilight Saga - New Moon - Eclipse - Breaking Dawn 2008 2009 2010 2011 2012,5,"Hành động, Phiêu lưu",,,,
,The Wolverine - Người sói 2013 2017,2,"Hành động, Viễn tưởng",,4K Bluray 1/2,,
,The Wretched - Mẹ quỷ 2019,1,"Kinh dị, Hành động",,,,
PHIM 1,Thế giới ngầm - Underworld 2003 2006 2009 2012 2016,5,"Hành động, Viễn tưởng",,4K Bluray 1/5,,
,Thor - Thần sấm 2011 2013 2017,3,"Hành động, Viễn tưởng",,4K Bluray,,
,Tôi là huyền thoại - I am legend 2007,1,"Hành động, Đại họa TG",,,,
,Transformers - Robot biến hình 2007 2009 2011 2014 2017,5,"Hành động, Viễn tưởng",,,,
,Vệ binh dải ngân hà - Guardians of the Galaxy 2014 2017,2,"Hành động, Viễn tưởng",,4K Bluray,,
,Vệ sĩ sát thủ - The Hitmans Bodyguard 2017,1,"Hành động, Hài hước",,,,
,Vệ Sĩ Sát Thủ 2: Nhà Có Nóc - Hitman's Wife's Bodyguard 2021,1,"Hành động, Hài hước",,,,
https://drive google com/drive/folders/0B60XeNl1kzp6VmJEMFJ3eVZDMEE?usp=sharing,X-men - Dị nhân (time cũ) 2000 2003 2006 2009,4,"Hành động, Viễn tưởng",,,,
PHIM 1,X-men - Dị nhân (time mới) 2011 2014 2016 2019,4,"Hành động, Viễn tưởng",,4K Bluray 3/4,,
PHIM 2,12 Strong - 12 Kỵ Binh quả cảm,1,"Hành động, Phiêu lưu",,,,
https://drive google com/drive/folders/1P825zAIAWsL1hL2nU9MryKCcFORg-Zf1?usp=sharing,47 Ronin - 47 Lãng nhân,1,"Hành động, Thần thoại",,,,
188,A-X-L 2018 - Chú chó Robot,1,"Hành động, Viễn tưởng",,,,
,Aladdin 2019,1,"Viễn tưởng, Hành động",,,,
,Alice ở xứ sở thần tiên - Alice In Wonderland,2,"Viễn tưởng, Phiêu lưu",,,,
,Quái vật không gian - Alien vs Predator 2004 2007 2017 2018,4,"Hành động, Viễn tưởng",,,,
,Alita - Thiên thần chiến binh 2019,1,"Hành động, Viễn tưởng",,,,
,American Pie - Bánh Mỹ 1999 2001 2003 2005 2006 2007 2009 2012,8,"Hài hước, Tình cảm",,,,
PHIM 2,Anh hùng - Hero 2002,1,"Võ thuật, Hành động",,,,
,Annabelle - Búp bê quỷ ám 2014 2017 2019,3,"Kinh dị, Gay cấn",,,,
,Annihilation 2018 - Vùng hủy diệt,1,"Viễn tưởng, Hành động",,,,
,Atomic Blonde - Điệp viên báo thù 2017,1,"Hành động, Viễn tưởng",,,,
,Ấu trùng ma - Slither 2006,1,"Kinh dị, Hành động",,,,
,Battle Ship - Chiến hạm 2012,1,"Hành động, Viễn tưởng",,,,
PHIM 2,Biệt đội bất hảo 2019 - Bad Guys,1,"Hành động, Kịch tính",,,,
,Biệt đội không gian - Space Squad 2017,1,"Hành động, Kịch tính",File chưa chuẩn,,,
,Big Stan - Đại ca Stan 2007,1,"Hài hước, Hành động",,,,
,Bleeding Steel - Quả tim thép 2017,1,"Hành động, Kịch tính",,,,
,Bộ ba siêu bựa - Horrible Bosses 2014,1,"Hành động, Hài hước",,,,
,Bố già - The GodFather 1972 1974 1990,3,,,,,
,"Bố ngoan, bố hư - Daddys Home 2015 2017",2,"Hài hước, Tình cảm",,,,
,Bruce toàn năng 2003 - Bruce Almighty 2003,1,"Hài hước, Tình cảm",,,,
PHIM 2,Cat Woman 2004,1,"Hành động, Kịch tính",,,,
,Catch Me If You Can - Bắt tôi nếu có thể 2002,1,"Kịch tính, Hình sự",,,,
,Chơi với lửa - Playing with Fire 2019,1,"Hài hước, Hành động",,,,
,Có cho có nhận - Pain and Gain 2013,1,"Tình cảm, Hài hước",,,,
,Cơ trưởng Sully - Sully 2016,1,,,,,
,Cớm Siêu Quậy - Bad Boys 1995 2003,2,,,,,
,Người đến từ địa ngục - Constantine 2005,1,"Thần thoại, Hành động",,,,
,Cơn thịnh nộ của Carrie 2013,1,"Hành động, Thần thoại",,,,
PHIM 2,Click - Cú click huyền thoại 2006,1,"Hài hước, Tình cảm",,,,
,Cuộc chiến 1917,1,"Chiến tranh, Hành động",,,,
,Dị nhân thế hệ mới - The New Mutants 2020,1,"Viễn tưởng, Hành động",,,,
,Doctor Sleep 2019 - Ký ức kinh hoàng,1,"Kinh dị, Kịch tính",,,,
,Đại chiến âm dương 2019,1,"Thần thoại, Hành động",,,,
PHIM 2,Đêm ở viện bảo tàng - Night at the Museum 2006 2009 2014,3,"Hành động, Hài hước",,,,
,Điệp viên sợ vợ - The Spy Undercover Operation 2013,1,"Hành động, Hài hước",,,,
,Gặp gỡ thông gia - Meet the Parents 2000,1,"Hài hước, Tình cảm",,,,
,Gemini man - Đàn ông song tử 2019,1,"Hành động, Kịch tính",,,,
,Gia đình thám tử - Shaft 2019,1,"Hành động, Kịch tính",,,,
,Giáng sinh nhớ đời - Love the Coopers 2015,1,,,,,
,Girl Trip - Chuyến đi của những cô gái 2017,1,,,,,
,Chiến binh lồng đèn xanh - Green Lantern 2011,1,"Hành động, Viễn tưởng",,,,
PHIM 2,Guardians of the Tomb - Vệ binh lăng mộ cổ,1,"Hành động, Kịch tính",,,,
,Hàng ma truyện - The Golden Monk 2017,1,"Võ thuật, Thần thoại",,,,
,Hellboy - Quỷ đỏ 2004 2008 2019,3,"Hành động, Thần thoại",,,,
,Hỗn số tử thần - Knowing 2009,1,,,,,
