THƯ MỤC,TÊN PHIM,Số tập,Thể loại,Ghi chú,,Cách Đăng ký xem phim,
,Những đứa trẻ to xác - Grown ups 2010 2013,2,,,,,
,Những Người Phụ Nữ Nhỏ Bé - Little Women 2019,1,,,,,
,Những thiên thần của Charlie - Charlies Angels,2,,,,,
,Nước cờ sinh tử - The Divine Move,2,,,,,
PHIM 7,Phi Vụ Nữ Quyền - Miss & Mrs  Cops 2019,1,,,,,
,"Phù thủy, phù thủy -  The Witches 2020",1,,,,,
,Quản Lý Và Người Tình - Jerry Maguire 1996,1,,,,,
,Quỷ Dữ Rình Rập - He's Out There 2018,1,,,,,
,Sát Thủ Nhân Tạo - The Witch 2018,1,,,,,
,Siêu Cớm - Hot Fuzz 2007,1,,,,,
PHIM 7,Sinh nhật chết chóc - Happy Death Day  2017 2019,2,,,,,
,Sói 100% - 100 Percent Wolf 2020,1,,,,,
,Sứ Giả Của Chúa / Bàn tay diệt quỷ - The Divine Fury 2019,1,,,,,
,Sự im lặng của bầy cừu - The Silence of the Lambs 1991,1,,,,,
,Sự trỗi dậy của các vệ thần - Rise of the Guardians 2012,1,,,,,
,Tao Biết Mày Đã Làm Gì Mùa Hè Rồi - I Know What You Did Last Summer 1997,1,,,,,
,Tay Súng Hickok - Hickok 2017,1,,,,,
,Tay Xạ Thủ - The Marksman 2021,1,,,,,
,Tần số chết - 0 0MHz 2019,1,,,,,
,Tân tinh võ môn - New Fist of Fury 1976,1,,,,,
,Thảm họa diệt vong - Cloverfield 2008,1,,,,,
,Thảm họa Titanic - Titanic 1997,1,,,,,
PHIM 7,Thân chủ đầu tiên của tôi - My First Client 2019,1,,,,,
,The Hunt - Cuộc Săn Lùng 2020,1,,,,,
,The Swordsman - Kiếm Khách 2020,1,,,,,
,Thòng lọng ma - The Rope Curse,1,,,,,
,Tiệc mừng tuổi 21 - 21 and over 2013,1,,,,,
,Tôi là số 4 - I am number Four 2011,1,,,,,
,Trẻ trâu khởi nghiệp - Start-Up 2019,1,,,,,
,Võ Sĩ Giác Đấu - Gladiator 2000,1,,,,,
https://drive google com/drive/folders/1dYB8P1T8xA6Gqg2mauc01t4vUmmNyho_?usp=sharing,Xạ thủ - Shooter 2007,1,,,,,
PHIM 7,Xin lỗi anh chỉ là sát thủ - Luck-Key 2016,1,,,,,
PHIM 8,Ác thần - Legion 2010,1,,,,,
https://drive google com/drive/folders/1cOWfuZUu7xZqGsptvqOgvOGNolvZzLAQ?usp=sharing,Bạn ma phiền toái - The Soul-Mate 2018,1,,,,,
168,Bạn Trai Cũ Tôi Là Điệp Viên - The Spy Who Dumped Me 2018,1,,,,,
,30 phút Sau Nửa Đêm / Truy Lùng Khủng Bố - Zero Dark Thirty 2012,1,,,,,
,Bài bạc bác thằng giàu / Mưu Cao Họa Sâu - Shade 2003,1,,,,,
,Báo thù - Cold Pursuit 2019,1,,,,,
,Bảy Thi Thể - Dark Figure of Crime 2018,1,,,,,
,Bắn Thẳng - Point Blank 2019,1,,,,,
,Băng Cướp Thế Kỷ: Đẳng Cấp Quý Cô - Ocean's Eight 2018,1,,,,,
,Bí Ẩn Sát Nhân - Murder Mystery 2019,1,,,,,
,Biệt đội cún cưng - Show Dogs 2018,1,,,,,
,Bước Chân Đầu Tiên - First Man 2018,1,,,,,
PHIM 8,Cậu bé người gỗ - Pinocchio 2019,1,,,,,
,Cậu Bé Người Sói - A Werewolf Boy 2012,1,,,,,
,Charlie và nhà máy Socola - Charlie And The Chocolate Factory 2005,1,,,,,
,"Chân Nhỏ, Bạn Ở Đâu? - SmallFoot 2018",1,,,,,
,Chiến Binh Thức Tỉnh / Nổi Dậy - Risen 2016,1,,,,,
,Chơi hay Chết? - Truth or Dare 2018,1,,,,,
,Christopher Robin 2018,2,,,,,
,Chung Quỳ Phục Ma: Tuyết Ma Yêu Linh,1,,,,,
,Chuyện Chưa Kể Ở Xử Sở Khổng Lồ - The BFG 2016,1,,,,,
,Con Đường Chiến Binh / Chiến Binh Quyền Anh - Warrior 2011,1,,,,,
PHIM 8,Con nhà siêu giàu châu Á - Crazy Rich Asians 2018,1,,,,,
,Con Nuôi Bất Đắc Dĩ - Instant Family 2018,1,,,,,
,Con rết người - The Human Centipede,3,,,,,
,Cô Dâu Công Chúa - The Princess Bride 1987,1,,,,,
,Công chúa Pocahontas - Pocahontas (HoạtHình2D),2,,,,,
,Cơn Sốt Đêm Thứ Bảy - Saturday Night Fever 1977,1,,,,,
,Cuộc Chiến Bỉm Sữa - Tully 2018,1,,,,,
,Cuộc đột kích Nga - Russkiy Reyd 2020,1,,,,,
,Cuộc Chiến Kim Cương Xanh - Siberia 2018,1,,,,,
PHIM 8,Cuộc Đàm Phán Sinh Tử - The Negotiation 2018,1,,,,,
,Cuộc Phiêu Lưu Của Scooby-Doo – Scoob 2020,1,,,,,
,Cuộc phiêu lưu tới hòn đảo huyền bí - Journey 2 The Mysterious Island 2012,1,,,,,
,Cuộc tấn công thứ 5 - The 5th Wave 2016,1,,,,,
,Dị Độ Không Gian - Inner Senses 2002,1,,,,,
,Kẻ Chỉ Điểm - Snitch 2013,1,,,,,
,Dự Án Siêu Năng Lực - Project Power 2020,1,,,,,
,Đại Ca Hóa Soái Ca - The Dude In Me 2019,1,,,,,
,Đại hồng thủy - Noah 2014,1,,,,,
,Đại Tiệc Xúc Xích - Sausage Party 2016,1,,,,,
PHIM 8,Đến thượng đế cũng phải cười - The Gods Must Be Crazy,5,,chưa hoàn thiện sub,,,
,Điều Kỳ Diệu - Wonder 2017,1,,,,,
,Đổi Mạng / Giải cứu con tin - The Target 2014,1,,,,,
,Đội Quân Siêu Trộm - The Thieves 2012,1,,,,,
,Đứa trẻ thời chiến - Children of Men 2006,1,,,,,
,Đường Đến Tội Ác - 25th Hour 2002,1,,,,,
,Đường Về Nhà Của Cún Con - A Dog's Way Home 2019,1,,,,,
,Gã chằn tinh tốt bụng - Shrek 2001 2004 2007 2010,4,,,,,
PHIM 8,Gã Thợ Cạo Ma Quỷ Trên Phố Fleet - Sweeney Todd The Demon Barber of Fleet Street 2007,1,,,,,
,Get a Job 2016,1,,Không có sub,,,
,Giải Cứu Nhà Trắng - White House Down 2013,1,,,,,
,Mối Quan Hệ Nguy Hiểm - Dangerous Liaisons 2012,1,,,,,
,Giải cứu tướng gia - Saving General Yang 2013,1,,,,,
,Giữa Bầy Xác Sống - Shaun of the Dead 2004,1,,,,,
,Hành Trình Của Moana 2016,1,,,,,
,Hậu cung - The Concubine 2012,1,,,,,
,Hậu tận thế - The Road 2009,1,,,,,
,Học viện siêu anh hùng: Hai người hùng - My Hero Academia The Movie: Two Heroes 2018,1,,,,,
PHIM 8,Hồ máu: Cuộc tấn công của cá mút đá - Blood Lake Attack of the Killer Lampreys 2014,1,,,,,
,Jack Reacher: Phát súng cuối cùng 2012 2016,2,,,,,
,Kẻ Chiếm Hữu - Possessor 2020,1,,,,,
,Kẻ Độc Tôn - The One 2001,1,,,,,
,Kẹp Hạt Dẻ Và Bốn Vương Quốc - The Nutcracker and the Four Realms 2018,1,,,,,
,Khách sạn huyền bí - Hotel Transylvania 2012 2015 2018 2022,4,,,,,
,Khi Các Góa Phụ Hành Động - Widows 2018,1,,,,,
,Kiêu hãnh và định kiến - Pride & Prejudice 2005,1,,,,,
,Kim Bình Mai - The Forbidden Legend: Sex & Chopsticks 2008 2009,2,18+,,,,
,Kim cương máu - Blood Diamond 2006,1,,,,,
,Kỵ sỹ cô độc - The Lone Ranger 2013,1,,,,,
PHIM 8,Lọ lem - Cinderella 2015,1,,,,,
,Lời nguyền bóng đêm - Dark Shadows 2012,1,,,,,
,Lưu lạc địa cầu - The Wandering Earth 2019,1,,,,,
,Mary Poppins Trở Lại - Mary Poppins Returns 2018,1,,,,,
,Mật danh kế toán - The Accountant 2016,1,,,,,
,Mật Vụ Giải Cứu - Hunter Killer 2018,1,,,,,
,Mốc 22 - Mile 22 2018,1,,,,,
,Một Tám Bảy - One Eight Seven 1997,1,,không có sub,,,
,Ngày định mệnh - Patriots Day 2016,1,,,,,
,Ngày Em Đẹp Nhất - On Your Wedding Day 2018,1,,,,,
,Ngày Hôm Qua - Yesterday 2019,1,,,,,
PHIM 8,Ngày kinh hoàng - The Day After Tomorrow 2004,1,,,,,
,Ngày tận thế - Armageddon 1998,1,,,,,
,Ngộ Sát - Sheep Without A Shepherd 2019,1,,,,,
,Ngôi Nhà Có Chiếc Đồng Hồ Ma Thuật - The House with a Clock in Its Walls 2018,1,,,,,
,Người hùng sao Hỏa - John Carter 2012,1,,,,,
,Người Tù Khổ Sai - Papillon 2018,1,,,,,
,Nhà Trắng Thất Thủ - Olympus Has Fallen 2013,1,,,,,
,Nhà Trắng Thất Thủ: Kẻ Phản Bội - Angel Has Fallen 2019,1,,,,,
,Những chú cò vận chuyển - Storks 2016,1,,,,,
PHIM 8,Những người khốn khổ - Les Misérables 2012,1,,,,,
,Oan gia tình - Very Ordinary Couple 2013,1,,,,,
,Ổ Khóa Tử Thần - Door Lock 2018,1,,,,,
,"Ông Anh ""Trời Đánh"" - Brother of the Year 2018",1,,,,,
,Ông già Noel xấu tính - Bad Santa,2,,,,,
,Phi vụ tiền giả - Project Gutenberg 2018,1,,,,,
,Phong Thần Bảng truyền kỳ - League of Gods 2016,1,,,,,
,Phong Thần Bảng: Đại Phá Vạn Tiên Trận - The First Myth: Clash of Gods 2021,1,,,,,
PHIM 8,Quay Trối Chết - One Cut of the Dead 2018,1,,,,,
,Queen Và Slim - Queen and Slim 2019,1,,,,,
,Quỷ nhập tràng - Compound Fracture 2014,1,,,,,
,Tình Yêu Zombie - Warm Bodies 2013,1,,,,,
,Quý Tộc Săn Tranh - Mortdecai 2015,1,,,,,
,Rambo loạt phim 1982 1985 1988 2008 2019,5,,,,,
,Rambow Nhí - Son of Rambow 2007,1,,,,,
,Ranh Giới Chết - Point Break 2015,1,,,,,
,Robot biết yêu - Wall E 2008,1,,,,,
,Sát Nhân Giấu Mặt  - A Kind of Murder 2016,1,,,,,
,Sát Nhân Halloween - Halloween 2018,1,,,,,
,Sát thủ đánh thuê / Kẻ Săn Người - Hitman X47 2007,1,,,,,
,Sát thủ: Mật danh 47 - Hitman Agent 47 2015,1,,,,,
PHIM 8,Sherlock Holmes 2009 - Thám tử Sherlock Holmes 2009 2011 2016,3,,,,,
,Siêu tốc độ - Overdrive 2017,1,,,,,
,Sự Cố Trạm Salyut 7 - Salyut 7 2017,1,,,,,
,Sói Cô Độc - Reprisal 2018,1,,,,,
,Tắc kè nhát gan - Rango 2011,1,,,,,
,Thái giám siêu năng lực - Super Eunuch,2,,,,,
,Thám Tử Siêu Bựa - Holmes & Watson 2018,1,,,,,
,Thám tử siêu quậy - Sherlock Gnomes 2018,1,,,,,
,Thiết Quyền Vương - The Man with the Iron Fists 2012 2015,2,,,,,
,Tình Yêu Zombie - Warm Bodies 2013,1,,,,,
,Thần Bài: Jack Một Mắt - Tazza: One Eyed Jack 2019,1,,ko sub,,,
PHIM 8,The LEGO Batman movie,1,,chưa hoàn thiện sub,,,
,The LEGO movie,2,,chưa hoàn thiện sub,,,
,The LEGO Ninja movie,1,,chưa hoàn thiện sub,,,
,The LEGO Scooby Doo Haunted Hollywood,1,,chưa hoàn thiện sub,,,
,Thế Giới Mới - New World 2013,1,,,,,
,Thế Giới Nước - Waterworld 1995,1,,,,,
,Thiên Thần Công Lý - Peppermint 2018,1,,,,,
PHIM 8,Truy Tìm Phép Thuật - Onward 2020,1,,,,,
,Và Em Sẽ Đến - Be With You 2018,1,,,,,
,VFW 2019,1,,không có sub việt,,,
,Trận bóng kinh hoàng - Final score 2018,1,,,,,
,Tri kỷ ngày tận thế - Seeking a Friend for the End of the World 2012,1,,,,,
,Trí lực siêu phàm - The Darkest Minds 2018,1,,,,,
,Trò Chơi Ái Quốc - Patriot Games 1992,1,,,,,
,Vụ cướp trong tâm bão - The Hurricane Heist 2018,1,,,,,
,Vũ khí bóng đêm: Thành phố xương - The Mortal Instruments: City of Bones 2013,1,,,,,
,Wreck-It Ralph - Rap-Phờ Đập Phá 2012 2018,2,,,,,
https://drive google com/drive/folders/1cOWfuZUu7xZqGsptvqOgvOGNolvZzLAQ?usp=sharing,Xác Ướp Nước Hoa - Perfume: The Story of a Murderer 2006,1,,,,,
PHIM 8,Zombie Đại Hạ Giá - The Odd Family Zombie On Sale 2019,1,,,,,
PHIM 9,12 năm nô lệ - 12 Years a Slave 2013,1,,,,,
https://drive google com/drive/folders/1tabkry8IeHFphO38dBQj6zfTLqTRraFW?usp=sharing,Ám ảnh kinh hoàng - The Haunting of Sharon Tate 2019,1,,,,,
161,Asterix: Bí kíp luyện thần dược - Astérix : Le Secret de la potion magique 2018,1,,,,,
,Bạn gái tôi là Điệp viên - My Girlfriend Is An Agent 2009,1,,,,,
,Băng Cướp Bất Đắc Dĩ - Triple Frontier 2019,1,,,,,
,Biệt đội mãnh hổ - Railroad Tigers 2016,1,,,,,
,Bộ vest Texudo - The Tuxedo 2002,1,,,,,
,Brooklyn - Brooklyn 2015,1,,,,,
PHIM 9,Các bộ phim của Châu Tinh Trì 1990-1995,8,,,,,
,Các bộ phim của Châu Tinh Trì 1996-2000,2,,,,,
,Cái nhìn chết người - Looks That Kill 2020,1,,,,,
,Cảnh sát người máy - Robocop 2014,1,,,,,
,Căn phòng - Room 2015,1,,,,,
,Cậu bé rừng xanh - The Jungle Book 2016,1,,,,,
,Câu Chuyện Thần Tiên - Ella Enchanted 2004,1,,,,,
PHIM 9,Chappie - Người Máy Chappie 2015,1,,,,,
,Chết Để Hồi Sinh - Dying to Survive 2018,1,,,,,
,Chiếc la bàn vàng - The Golden Compass 2007,1,,,,,
,Chiến dịch Overlord - Overlord 2018,1,,,,,
PHIM 9,Chuyện ngày mưa ở New York - A Rainy Day in New York 2019,1,,,,,
,Cô gái mất tích - Gone Girl 2014,1,,,,,
,Cỗ máy - Ex Machina 2015,1,,,,,
,Cuộc chiến không trọng lực - Gravity 2013,1,,,,,
,Cuộc chiến thành Troy - Troy 2004,1,,,,,
,Cuộc Chiến Tương Lai – The Tomorrow War 2021,1,Mới,,,,
PHIM 9,Cuộc Phiêu Lưu Của Gulliver - Gulliver's Travels 2010,1,,,,,
,Cuốn sách của Eli - The Book of Eli 2010,1,,,,,
,Drive - Tay Lái Siêu Hạng 2011,1,,,,,
,Drive Angry - Sứ Giả Địa Ngục 2011,1,,,,,
PHIM 9,Dưới không độ - Below Zero aka Bajocero 2021,1,,,,,
,Dương quang phổ chiếu - A Sun 2019,1,,,,,
,Đại Chiến Hai Thế Giới - Warcraft: The Beginning 2016,1,,,,,
,Không Tha Thứ - Unforgiven 1992,1,,,,,
,Đại chiến Xích Bích - Red Cliff 2008 2009,2,,,,,
PHIM 9,Đại Dịch Mù Lòa - Blindness 2008,1,,,,,
,Đảo hoa hồng - Rose Island 2020,1,,,,,
,Đẳng Cấp Boss - Boss Level 2020,1,,,,,
,Đấu trường sinh tử - The Hunger Games 2012 2013 2014 2015 / Catching Fire / Mockingjay,4,,,,,
,Điệp vụ Milano - Mission Milano 2016,1,,,,,
PHIM 9,Điệp vụ XXXL - Fat Buddies 2018,1,,,,,
,Đội Quân Một Người - Army Of One 2020,1,,,,,
,Gấu Paddington - Paddington,2,,,,,
,Giá trị của lời nói dối - The Invention of Lying 2009,1,,,,,
,Giải cứu binh nhì Ryan - Saving Private Ryan 1998,1,,,,,
PHIM 9,Hai nàng mọt sách -  Booksmart 2019,1,,,,,
,Hành Khách Bí Ẩn - The Commuter 2018,1,,,,,
,"Her - Cô Ấy, Người Tình Máy Tính 2013",1,,,,,
,Hố đen tử thần - Interstellar 2014,1,,,,,
PHIM 9,Hộ vệ xứ Ga'Hoole - Legend of the Guardians The Owls of Ga'Hoole 2010,1,,,,,
,Indiana Jones series 1981 1984 1989 2008,4,,,,,
,James Bond - Điệp Viên 007: Bóng ma Spectre - Spectre 2015,1,,,,,
,James Bond - Điệp Viên 007: Định mức khuây khỏa - Quantum of Solace 2008,1,,,,,
,James Bond - Điệp Viên 007: Không Phải Lúc Chết - No Time to Die 2021,1,,,,,
PHIM 9,James Bond - Điệp Viên 007: Hẹn chết ngày khác - Die Another Day 2002,1,,,,,
,James Bond - Điệp Viên 007: Sòng Bạc Hoàng Gia - Casino Royale 2006,1,,,,,
,James Bond - Điệp Viên 007: Tử Địa Skyfall - Skyfall 2012,1,,,,,
,James Bond 007: từ 1962-2000,8,,Ch­ưa up sub,,,
,Jason Bourne - Siêu điệp viên 2002 2004 2007 2012 2016,5,"Hành động, Tội phạm - Hình sự",,,,
PHIM 9,Kẻ lập dị - Crank 2006 2009,2,,,,,
,Kẻ săn đuổi - The Chaser 2008,1,,,,,
,Kẻ Trộm Sách - The Book Thief 2013,1,,,,,
,Kẻ Vô Danh - Nobody 2021,1,"Hành động, Kịch tính",,,,
,Kẻ xấu đẹp trai - Megamind 2010,1,,,,,
,Khám Phá Thế Giới Bên Kia - The Discovery 2017,1,,,,,
,Lời Cầu Hôn - The Proposal 2009,1,,,,,
,Lời nguyền giảm cân - Stephens Kings Thinner 1996,1,,,,,
PHIM 9,Ma gương - Oculus 2013,1,,,,,
,Mảnh ghép tình yêu - Definitely Maybe 2008,1,,,,,
,Mặc Cả Với Quỷ - Pay The Ghost 2015,1,,,,,
,Mầm sống hiểm họa - Life 2017,1,,,,,
,Mưu cầu hạnh phúc - The Pursuit of Happyness 2006,1,,,,,
,Năm Bước Để Yêu - Five Feet Apart 2019,1,,,,,
PHIM 9,Ngã rẽ tử thần - Wrong Turn 2003 2007 2009 2011 2012 2014 2021,7,,,,,
,Nghề siêu khó / Phi Vụ Bá Đạo - Extreme Job 2019,1,,,,,
,Ngôi nhà gỗ trong rừng - The Cabin in the Woods 2011,1,,,,,
,Người chim - Birdman 2014,1,,,,,
,Người bí ẩn -  Mystery Men 1999,1,,không có sub việt,,,
,Người sói - The Wolfman 2010,1,,,,,
PHIM 9,Người sói - Wolves 2014,1,,,,,
,Người tí hon - Little Man 2006,1,,,,,
,Nhện Khổng Lồ - Big Ass Spider 2013,1,,,,,
,Những Chiến Binh Bất Tử - The Old Guard 2020,1,,,,,
,Những cuộc phiêu lưu của Tintin - The Adventures of Tintin 2011,1,,,,,
PHIM 9,Những mảnh ghép cảm xúc - Inside Out 2015,1,,,,,
,Những ngày cuối cùng ở Việt Nam - Last Days in Vietnam 2014 (Phim TL),1,,,,,
,Những người trẻ tuổi - Young Ones 2014,1,,,,,
,Nữ Hoàng Scotland - Mary Queen of Scots 2018,1,,,,,
,Paranorman Và Giác Quan Thứ Sáu - ParaNorman 2012,1,,,,,
,Quái Vật Biển - Sector 7 2011,1,,,,,
,Quái vật săn đêm - Sputnik 2020,1,,,,,
PHIM 9,Quái Vật Trong Mây - Shadow in the Cloud 2020,1,,,,,
,Quỷ lùn tinh nghịch: Chuyến lưu diễn thế giới - Trolls: World Tour 2020,1,,,,,
,Sát thủ giết thuê - Collateral 2004,1,,,,,
,Săn tiền kiểu Mỹ - American Hustle 2013,1,,,,,
PHIM 9,Siêu ngốc gặp nhau - Dumb and Dumber To 2014,1,,,,,
,Sự im lặng - Silenced 2011,1,,,,,
,Sự thanh trừng - The Purge 2013 2014 2016 2018 2021,5,,,,,
,Tam quốc chí: Rồng tái sinh - Three Kingdoms Resurrection Of The Dragon 2008,1,,,,,
,Tay Trộm Chuyên Nghiệp - Parker 2013,1,,,,,
PHIM 9,Tẩu thoát ngoạn mục - Skiptrace 2016,1,,,,,
,Thám Hiểm Vùng Đất Lạ - The Dinosaur Project 2012,1,,,,,
,Thảm họa kép - Fukushima 50 2020,1,,,,,
,Thằng gù ở nhà thờ Đức Bà - The Hunchback of Notre Dame 1996 (HH2D),1,,,,,
,Thích Khách Minh Triều - The Ming Dynasty Assassin 2017,1,,,,,
PHIM 9,Thợ săn quái vật - Monster Hunter 2020,1,,,,,
,Trạm Dừng Tử Thần - Cabin Fever 2016,1,,,,,
,Thời đại phù thủy - Season of The Witch 2011,1,,,,,
,Tin Nóng - Bombshell 2019,1,,,,,
,Tình yêu ngày tận thế / Chữ Z trong Zachariah - Z for Zachariah 2015,1,,,,,
,"Tôi là Tonya - I, Tonya 2017",1,,,,,
PHIM 9,Tổ chức bóng đêm U N C L E - The Man from U N C L E 2015,1,,,,,
,Tốc độ - Speed 1994,1,,,,,
,Trận hùng chiến xứ sở lá cây - Epic 2013,1,,,,,
,Trò chơi ảo giác - Tron legacy 2010,1,,,,,
,Trong Từng Nhịp Thở - Breathe 2017,1,,,,,
,Tú Xuân Đao - Brotherhood of Blades 2014 2017,2,,,,,
PHIM 9,Tuổi Mới Lớn - Carmilla 2020,1,,,,,
,Tử thi biết nói - The Autopsy of Jane Doe 2016,1,,,,,
,Vị Khách Khiêu Tình - Curiosa 2019,1,,,,,
,Vòng tròn định mệnh - The Ring 2002,1,,,,,
https://drive google com/drive/folders/1tabkry8IeHFphO38dBQj6zfTLqTRraFW?usp=sharing,Vòng Xoáy Tội Ác - The Chronicles of Evil 2015,1,,,,,
PHIM 9,Ye Yan - Dạ Yến 2006 ,1,,,,,
PHIM 10,500 Ngày Yêu - (500) Days of Summer 2009,1,,,,,
https://drive google com/drive/folders/1ACj3GS3tAFhb6VFAPIizdNkjnrwao1fT?usp=sharing,Ám Ảnh Dục Vọng - Obsessed 2014,1,18+,,,,
156,"Anh Hùng Bất Đắc Dĩ - Game Over, Man! 2018",1,,,,,
,Ảo Thuật Gia Đấu Trí - The Prestige 2006,1,,,,,
,Ác Mộng Bóng Đêm - Lights Out 2016,1,,,,,
,101 Chú Chó Đốm - Cruella 2021,1,,1080p WebDL,,,
,Bà Đầm Thép - The Iron Lady 2011,1,,,,,
PHIM 10,Bác Sỹ Thiên Tài / Vị Bác Sỹ Giỏi - The Good Doctor 2011,1,,,,,
,Bạch Phát Ma Nữ Ngoại Truyện - The Wolf Witch 2020,1,,,,,
,Bản đồ máu - The Map Against The World 2016,1,,,,,
,Bản Năng Gốc - Basic Instinct 1992 2006,2,,,,,
,Ban Nhạc Đường Phố - Sing Street 2016,1,,,,,
PHIM 10,Bản Sắc Anh Hùng - Invisible Target 2007,1,,,,,
,Bàn tay đưa nôi - The Hand That Rocks the Cradle 1992,1,,,,,
,Bậc Thầy Của Những Ước Mơ - The Greatest Showman 2017,1,,,,,
,Bậc Thầy Lừa Đảo - The Wizard of Lies 2017,1,,,,,
,Biển Sâu Dậy Sóng - In The Heart Of The Sea 2015,1,,,,,
PHIM 10,Bố già xứ Venice - Once Upon a Time in Venice 2017,1,,,,,
,Burn - Đốt 2019,1,,,,,
,Cám Dỗ Tội Lỗi - A Man and a Woman 2016,1,,ko có sub việt,,,
,Cao thủ vô ảnh cước: Hoàng Kỳ Anh - Master Of The Shadowless Kick 2016,1,,,,,
,Căn Hầm - 10 Cloverfield Lane 2016,1,,,,,
,Câu Lạc Bộ Kiếm Chồng - La Lingerie / Noi Yee Sil Nui 2008,1,,,,,
PHIM 10,Cây Anh Đào - Cherry Tree 2015,1,,,,,
,Cây Phù Thủy - Curse Of The Witching Tree 2015,1,,,,,
,Chất Dẻo Bay - Flubber 1997,1,,,,,
,Chết cũng không yên - Death at a Funeral 2010,1,,,,,
,Chết Dưới Nấm Mồ - Death At A Funeral 2007,1,,,,,
,Chỉ Là Bạn Thôi - Just Friends 2005,1,,,,,
,Chỉ Riêng Mình Em - Always 2011,1,,,,,
,Chiến Binh Bất Tử - Immortals 2011,1,,,,,
PHIM 10,Chiến Binh Mexico - Sicario 2: Day of the Soldado 2018,1,,,,,
,Chiến Dịch Tranh Cử / Bầu cử - The Campaign 2012,1,,,,,
,Chuyện Tình Cấm Đoán / Thế giới sẽ đến - The World to Come 2021,1,,,,,
,Chuyên Gia Tài Chính - The Banker 2020,1,,,,,
,SAS: Báo Động Đỏ - SAS: Red Notice 2021,1,,Chưa sub việt,,,
PHIM 10,Sát Nhân Liên Hoàn - Strangled 2016,1,,,,,
,Ranh Giới Sống Còn - Sicario 2015,1,,,,,
,Chuyên Gia Mai Mối - Hitch 2005,1,,,,,
,Con Đường Máu Lửa - Hyena Road 2015,1,,,,,
,Cô Bé Quàng Khăn Đỏ - Red Riding Hood 2011,1,,,,,
,Cô Giữ Trẻ Sát Nhân - The Babysitter 2017,1,,,,,
PHIM 10,Cô Nàng Dễ Dãi - An Easy Girl 2019,1,,,,,
,Cô Nàng Lẳng Lơ - Easy A 2010,1,,,,,
,Công Chúa Sói Mononoke 1997 (HH2D),1,,,,,
,Cơ Hội Thứ Hai: Đối Thủ - A.Second.Chance.Rivals.2019,1,,,,,
,Cớm học đường - 21 Jump Street 2012 2014,2,,,,,
,Cơn Sốt Hoa Tulip - Tulip Fever 2017,1,,,,,
,Cụ Bà Trên Xe Thùng - The Lady In The Van 2015,1,,,,,
PHIM 10,Cung Sư Huyền Thoại - Judge Archer 2012,1,,,,,
,Cuốn Sách Của Henry - The Book of Henry 2017,1,,,,,
,Di Truyền - Hereditary 2018,1,,,,,
,Dính Bầu - Juno 2007,1,,,,,
,Dối Lừa - Lies / Gojitmal 1999 18+,1,,,,,
,Đại Chiến Thế Giới - War Of The Worlds 2005,1,,,,,
,Đầm Cá Mập - Shark Night 3D 2011,1,,,,,
,Đêm Của Ác Thần - Gabriel 2007,1,,,,,
PHIM 10,Địa Chấn - The Quake 2018,1,,,,,
,Điệp Viên Hai Mang - 2 Guns 2013,1,,,,,
,Điệp Viên Ngoài Giờ - Part-Time Spy 2017,1,,,,,
,Điệp Vụ Phản Gián - Unlocked 2017,1,,,,,
,Đòn quyết định - First kill 2017,1,,,,,
,Đội Bóng Nhà Tù - The Longest Yard 2005,1,,,,,
,Đối Đầu / Đối Mặt - Braven 2018,1,,,,,
,Đội Quân Người Chết - Army of the Dead 2021,1,,,,,
,Đối Tác Gợi Cảm - My Ps Partner 2012,1,,,,,
PHIM 10,Đứa Con Của Mặt Nạ - Son of The Mask 2005,1,,,,,
,Già Gân / Trùm Ma Túy - The Mule 2018,1,,,,,
,Giác Quan Hoàn Hảo - Perfect Sense 2011,1,,,,,
,Giải Mã Bí Ẩn Ngân Hà - Ad Astra 2019,1,,,,,
,Giây Phút Sinh Tử - Ticking Clock 2011,1,,,,,
,Gương quỷ - Mirrors 2008,1,,,,,
PHIM 10,Hai Lần Lộ Diện / Nhị thứ bộc quang - Double Xposure 2012,1,,,,,
,Hành Trình Vượt Ngục - The Condemned 2007,1,,,,,
,Hiểm Họa Trạm Không Gian - The Cloverfield Paradox 2018,1,,,,,
,Hoàn Hảo - The Perfection 2019,1,,,,,
,Hù! - Boo! 2019,1,,,,,
,Hướng Dẫn Sử Dụng Đàn Ông - This.Is.Not.What.I.Expected.2017,1,,,,,
,Jack Đại Chiến Người Khổng Lồ - Jack the Giant Slayer 2013,1,,,,,
,Judas Và Black Messiah - Judas And The Black Messiah 2021,1,,ko sub việt,,,
PHIM 10,Kẻ độc tài - The Dictator 2012,1,,,,,
,Kẻ Đơn Độc - A Man Apart 2003,1,,,,,
,Kẻ thế mạng - Self / less 2015,1,,,,,
,Khi Đàn Ông Yêu - Man In Love 2014,1,,,,,
,Không Được Hé Môi - Don't Say A Word 2001,1,,,,,
,Khu Vườn Ngôn Từ - The Garden of Words 2013,1,,,,,
,Kubo Và Sứ Mệnh Samurai - Kubo and the Two Strings 2016,1,,,,,
,Kỳ án truyện tranh - Killer Toon 2013,1,,,,,
,Lính bắn tỉa Mỹ - American Sniper 2014,1,,,,,
,Lỗi Của Những Vì Sao - The Fault in Our Stars 2014,1,,,,,
,Ma Quái - Nekrotronic 2018,1,,,,,
PHIM 10,Mặt nạ xanh - The mask 1994,1,,Đang lệch sub,,,
,Mật Hiệu Chuồn Chuồn - Dragon fly 2002,1,,,,,
